,Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
162,SAEF,12.88,1.5,12.90,12.63,12.63,"93,810",,
163,SAHAS,480.00,2.13,489.60,467.50,470.00,"19,416",,
164,SANIMA,273.60,0.59,277.00,270.00,270.00,"32,313",,
165,SAPDBL,240.10,0.88,246.80,235.20,242.00,"10,501",,
166,SBCF,8.30,-1.31,8.56,8.30,8.40,"16,760",,
167,SBI,285.00,1.06,286.90,276.40,276.40,"58,127",,
168,SBL,314.00,-0.32,320.00,312.00,316.00,"50,452",,
169,SCB,400.00,0.96,403.70,397.00,397.00,"13,947",,
170,SDLBSL,"1,099.00",2.71,"1,105.00","1,080.00","1,090.00",480,,
171,SEF,9.71,-1.32,10.03,9.71,10.02,"26,500",,
172,SFCL,232.00,3.62,238.50,225.00,227.00,"40,558",,
173,SFMF,11.68,-0.76,12.00,11.45,12.00,"33,200",,
174,SHEL,255.00,-2.11,265.00,254.10,255.30,"12,321",,
175,SHINE,303.00,1,306.00,298.90,305.00,"32,470",,
176,SHIVM,784.60,2.56,800.00,778.00,779.00,"202,235",,
177,SHL,211.60,0.67,216.90,208.50,213.00,"24,379",,
178,SHPC,313.50,2.45,316.00,306.00,306.00,"91,856",,
179,SICL,860.00,2.99,875.00,850.00,850.00,"16,166",,
180,SIFC,309.90,2.62,316.00,305.10,308.00,"25,100",,
181,SIGS2,9.99,0,10.16,9.68,10.16,"8,900",,
182,SINDU,278.50,-0.54,285.00,278.40,285.00,"9,805",,
183,SJCL,265.00,1.49,270.00,259.40,265.00,"12,275",,
184,SKBBL,"1,110.00",2.78,"1,117.00","1,079.00","1,080.00","10,640",,
185,SLBBL,870.00,2.35,875.00,846.00,862.00,"2,786",,
186,SLBSL,"1,612.90",-0.38,"1,650.00","1,582.00","1,650.00","1,593",,
187,SLCF,8.63,-1.6,8.70,8.60,8.60,"11,680",,
188,SMATA,822.00,1.48,842.00,810.00,825.90,467,,
189,SMB,"1,315.00",-0.3,"1,336.00","1,304.00","1,330.00",776,,
190,SMFBS,"1,575.00",1.61,"1,581.00","1,505.00","1,550.00",538,,
191,SMFDB,859.90,3.11,867.00,849.00,849.00,"1,789",,
192,SPC,421.00,0,436.00,405.10,412.60,"1,665",,
193,SPDL,339.00,-0.29,346.80,338.00,345.90,"22,226",,
194,SRBL,205.80,-0.58,209.90,205.70,207.00,"20,703",,
195,SRBLD83,920.00,-3.91,938.30,920.00,938.30,60,,
196,SSHL,220.00,0.46,225.00,220.00,223.00,"15,686",,
197,STC,"4,040.00",1.51,"4,110.00","4,017.00","4,033.00","3,557",,
198,SWBBL,"1,112.00",0.91,"1,135.00","1,100.00","1,100.00","16,425",,
199,SWMF,800.00,1.78,813.00,790.00,801.70,"5,094",,
200,TPC,439.00,2.79,440.00,426.90,435.60,"5,789",,
201,TRH,326.00,-3.26,342.00,326.00,330.30,"8,662",,
202,UIC,360.00,1.41,364.00,350.10,355.00,"3,433",,
203,ULBSL,"2,939.10",3.75,"2,950.00","2,833.00","2,833.00","3,657",,
204,UMHL,239.00,1.27,242.00,235.00,240.70,"54,198",,
205,UMRH,708.50,-1.57,733.80,708.50,733.80,"5,714",,
206,UNHPL,215.00,0.89,219.30,213.20,217.00,"26,049",,
207,UNL,"18,799.00",1.34,"18,799.00","18,799.00","18,799.00",10,,
208,UPCL,239.00,3.64,244.60,231.30,235.00,"190,537",,
209,UPPER,527.00,0.19,535.00,522.00,533.00,"89,096",,
210,USLB,"1,040.00",1.96,"1,040.40","1,040.00","1,040.40",391,,
211,VLBS,991.00,0.71,"1,005.00",986.00,"1,000.00","1,696",,
212,WNLB,935.00,-0.32,969.00,935.00,940.00,480,,
